Phase,Task ID,Task Title,Priority,Description,Completion Status,Tags,Problem ID,Problem Title,Risk Rating,Business Unit,Application,Project,Project Attributes,Issue Tracker Tickets,Why is this Countermeasure included?
Testing,T350,Verify that audit information is sufficiently protected,7,"When security-critical events are not logged properly, or when the logs are unreliable, malicious behavior can be more difficult to detect and may hinder forensic analysis after a successful attack. 

For example, failed login attempts should always be logged, and logs are unreliable if they can be modified or deleted without authorization.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/778
)

Review the system's/application's audit protection policies and safeguards:

- Attempt to change the logs and review the permissions for write, delete, and modification of audit artifacts, such as audit data, audit settings and audit reports.
    - Try to access and change this data.
    - This test __fails__ if you can modify the data without having the required permissions.

- If the requirements ask for storage of audit information on write-once-read-many (WORM) devices and media, test if they are met.

- Verify that any changes to audit records are recorded according to the adopted policies.

- Work with developers to verify that authorized users can only access audit records on a read-only basis if this is mandated by the policy's regulations.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T350/",Incomplete,,P619,Insufficient Logging or Insufficient Protection of Logs,4,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Requires security logging (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Requirements,T364,Enable secure backup and restore capabilities,6,"System owners may permanently lose user or application information if the system does not provide required capabilities to: back up data, reconstitute system from backed up data, and protect backup data from unauthorized modification. Lack of sufficient backup data can also make the restoration to a secure state impossible after a failure.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/530
)

Follow these guidelines to develop or set up secure backup and restore capabilities:

- Decide on the __types of data__ that need to be included in the backups.
    - Such as user data, system data, and so on.

- Apply the same rules to backup data as the original data.
    - For example, make sure that confidential data (passwords, credit card numbers and social insurance numbers) in the backups are treated in the same way as the original data.

- Decide on the location of the backup data (usually a server if applicable) and secure the communication channel to the server (use secure protocols such as TLS).
    - __Authenticate__ the backup server before sending backup data to and loading data from it.

- If system recovery is implemented, restore the system to a __secure state__ after a failure.
    - Identify the minimum data, system parameters, security parameters, and security patches to achieve this goal.

- Devise a means to __resume or restart backup__ when the process fails.
    - Because of a power failure, for example.

### Android auto-backup of application data

Android Marshmallow (6, API level 23) provides a feature that enables automatic backup of application data. The system automatically sends the application data to the cloud (google drive) so that if the users install/reinstall the application they can easily restore their data. For more information, see [Auto Backup for Apps](http://developer.android.com/training/backup/autosyncapi.html).

- If the application handles sensitive data in the application files (which should not normally be the case) give users the choice to decide if they want to back up their data on Google cloud. Users can opt out of auto-backup option for all applications altogether, but an application-specific consent is recommended.
- Applications can specify which folders to include/exclude in the backup. Use [BackupAgent](http://developer.android.com/reference/android/app/backup/BackupAgent.html) and folders specified by `getNoBackupFilesDir()` or use `<full-backup-content> <include domain ...` in the backup configuration XML to exclude the data that you don't want to be sent to the cloud. Exclude sensitive data or secret key folders from auto-backup if they exist on the client and they are not necessary to be backed up.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T364/",Incomplete,,P754,Missing support for backup/restore capabilities or insufficient protection of backup data,6,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application is a generic server application (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)"
Testing,T365,Verify the security of backing up and restoring procedures,6,"System owners may permanently lose user or application information if the system does not provide required capabilities to: back up data, reconstitute system from backed up data, and protect backup data from unauthorized modification. Lack of sufficient backup data can also make the restoration to a secure state impossible after a failure.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/530
)

Follow these guidelines to verify that backup/restore procedures are reliable and secure:

- Create backups with different types of data.
    - For example, system data, user data, and so on.
    - Restore the data/system, and test if the system works properly and the data is restored.
    - This test __fails__ if the system does not work as intended, or the data is not restored.
 
- Interrupt the backing up process and check if it can be resumed/restarted.
    - This simulates an uncontrolled abrupt interruption, such as a power failure.
    - This test __fails__ if the backing up process cannot resume or restart.

- Verify that the same rules are applied to backup data as the original data.
    - For example, make sure that confidential data in the backups are treated in the same way as the original data (such as passwords, credit card numbers, and social insurance numbers). 

- Work with developers to verify that confidential data in transit is only sent over a secure communication channel.
    - For example, use the TLS protocol to send data securely.

- Work with developers to verify that the backup/restore server is authenticated before a data transfer.

### Verifying Android auto-backup of application data

Verify that the backup of data that is included in Android auto-backup folders (Android Marshmallow and later), conform to the policies specified for the application and the users have (optionally) given specific consent for data backup to Google cloud.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T365/",Incomplete,,P754,Missing support for backup/restore capabilities or insufficient protection of backup data,6,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application is a generic server application (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)"
Activities,T1380,Enforce secure user registration and access control,10,"A process is wanting for full user life cycle from user registration, access rights assignment, all the way to access rights adjustment and user de-registration. This is process would ensure the principle of least privilege. A lack of such process can cause serious harm to organizations leading to breach of confidentiality and integrity due to privilege escalations, authorization attacks and so on.

Follow these guidelines to manage user authorization and access controls to applications:

1. Establish a processes for authorizing users that is defined in writing, approved by management and applied to all users.
2. Ensure that the process associate access privileges with unique, designated users, and assign users with default access based on the [principle of least privilege](/library/glossary/G83/). Ensure that redundant UserIDs are not reissued.
3. Maintain a repository containing details of all authorized users for each application. 
4. Regularly review the details of authorized users to ensure that access privileges remain appropriate, and that redundant authorizations have been deleted (e.g., for individuals who have changed roles or left the organization). Increase the frequency of reviews for users with special access privileges (e.g., from annually to quarterly).
5. Restrict access to applications by using [sign-on and access control mechanisms](/library/glossary/G94/) such as passwords, tokens, or biometrics. Seek the approval of a senior business representative before any critical features of the sign-on process are bypassed, disabled, or changed.
6. Identify the privileged access rights associated with each system and process, such as operating system, database management system, and any applications in general. Privileged access rights must be allocated to users based on a [need-to-know principle](/library/glossary/G95/).
7. Record the allocation of privileged access rights and make sure allocation occurs only after an authorization process has taken place. 
8. Identify the condition under which all access rights must expire.
9. Avoid the unauthorized usage of generic administration UserIDs. Great care must be exercised to maintain the confidentiality of secret authentication information for generic administrative UserIDs.
10.Require additional levels of authentication (e.g., enable multi-factor authentication) when performing critical actions that involve [sensitive/personal information](/library/glossary/G8). For example, enable a password prompt when users attempt to change their personal/sensitive information.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T1380/",Incomplete,,P1185,Lack of process for user registration and enforcement of access control,10,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• NOT Critical (Hidden Answer) AND
• NOT High (Hidden Answer) AND
• NOT Medium (Hidden Answer) AND
• NOT Low (Hidden Answer) AND
• NOT Very Low (Hidden Answer) AND
• NOT Unclassified (Hidden Answer) AND
• Changes to processes/activities (Hidden Answer) AND
• Application General > Context and Characteristics > Application's Context and Characteristics > Include general countermeasures in the Activity phase (process engineering tasks) in this project"
Testing,T846,Verify if safe browsing services are used in Android,3,"Android, iOS, and some other mobile frameworks allow definition of custom URL schemes (through different methods). Lack of authorization for received requests, and lack of validation of data received with those requests in mobile applications enables adversaries to perform unauthorized actions by tricking users to click on malicious hyperlinks that are handled by those insecure applications.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/939
)

Use the following steps to verify whether you enable and use a safe browsing service on your Android device:

1. Go to the [safe browsing test site](http://malware.testing.google.test/testing/malware/).
2. This test __passes__ if you receive a warning message, or the page is blocked and cannot be accessed.

    This test __fails__ if you do not receive a warning message or can access the page.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T846/",Incomplete,,P760,Improper verification of source and content of URL schemes,4,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Platform and Language > Platform/Operating System > Platform > Android AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Platform and Language > Platform/Operating System > Platform > Android AND
• Changes to inbound/outbound interfaces (Hidden Answer)"
Activities,T1368,Perform security testing using SAST tools,9,"It is important to run SAST on the entire code base, configuration files, third-party components and libraries. Not running SAST can result in releasing a product with a number of unfixed security bugs which causes security issues in all security principle of CIA including confidentiality, availability and integrity.

Follow these guidelines to perform security testing using Static Application Security Testing (SAST) tools:

1. Choose a SAST tool appropriate for your software architecture (such as monolithic, service-oriented, micro-services, and so on), programming language, and development frameworks. For example, configure and use OS/cloud configuration scanning for cloud environments, such as Microsoft Baseline Security Analyzer or Evident.IO.
2. Configure the SAST tool to include the entire code base, configuration files, third-party and open-source components, and shared components and libraries.
3. Where applicable (with a mature development team) add the SAST tool's plug-in to the developer IDE.
4. Execute SAST routinely on code commit, unit, integration, and regression testing, and after staging the release so that the security team can independently scan static files and component configurations. The frequency and stage at which the scan is performed depends on your pipeline's maturity and team's capacity.
5. Triage the results and update the scanner profiles to reduce the number of false positives of the following scans. Use [false positive reduction strategies](/library/glossary/G67/) for best results.
6. Properly document and maintain an inventory of the scanning results and the corresponding actions taken to address the findings.
7. Identify proper controls to fix discovered vulnerabilities (true positives) permanently.
8. Include web privacy scans in the SAST process, and track remediation accordingly.

__Note__: This countermeasure will not transition to 'Complete' unless its corresponding scan is run with __zero 'High' and zero 'Critical' findings__.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T1368/",To Do,,P1186,Lack of a process for static application security testing (SAST),9,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• NOT Critical (Hidden Answer) AND
• NOT High (Hidden Answer) AND
• NOT Medium (Hidden Answer) AND
• NOT Low (Hidden Answer) AND
• NOT Very Low (Hidden Answer) AND
• NOT Unclassified (Hidden Answer) AND
• Changes to processes/activities (Hidden Answer) AND
• Application General > Context and Characteristics > Application's Context and Characteristics > Include general countermeasures in the Activity phase (process engineering tasks) in this project"
Activities,T1369,Perform security testing using DAST tools,8,"Dynamic security testing is important when an application is deployed and released into a staging environment. It is necessary to test the application in its running state and ensure about its secure functionality across the whole system. Not running a DAST can result in releasing a product with a number of unfixed security bugs which causes security issues in all principles of CIA including confidentiality, availability and integrity.

Follow these guidelines to perform security testing using Dynamic Application Security Testing (DAST) tools:

1. Choose and configure a dynamic application security testing (DAST) tool that is best for your environment according to the scope of testing and its importance. 
2. Where possible, integrate and automate the process into the application deployment pipeline using available plugins.
3. Consult with your security team to determine the minimum critical level of findings that block the build.
4. Perform a partial DAST on the deployed application after each staging release. Set boundaries of testing in the profile and limit the testing parameters so that it doesn't test the whole system if not needed.
5. Document the results and triage the DAST findings. 
6. Communicate the findings clearly to developers, including actionable solutions or recommendations. Ensure that the findings are passed through the same bug tracking processes used in the standard CI/CD workflow.
7. After developers fix the identified issues, reperform a partial DAST test. Repeat the find/fix process until the test passes.
8. Run a complete DAST before rolling out to production and make sure it passes the full test. Otherwise, triage the findings and hand them over to the development team for remediation.
9. Review the results after each partial or complete DAST test. Then, fine-tune the scanner configuration to reduce false positives, and set the scanner policies to shape the scanning boundaries properly.
10. Include web privacy scans in the DAST configuration, and track remediation accordingly. 

__Notes:__

- This countermeasure will not transition to 'Complete' unless its corresponding scan is completed with __zero 'High' and zero 'Critical' findings__.
- In addition, if this countermeasure is transitioned to 'Complete', it will __reopen if a scan has not been run with its results imported into SD Elements within its predefined time threshold__.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T1369/",To Verify,,P1173,Lack of a process for dynamic application testing,8,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• NOT Critical (Hidden Answer) AND
• NOT High (Hidden Answer) AND
• NOT Medium (Hidden Answer) AND
• NOT Low (Hidden Answer) AND
• NOT Very Low (Hidden Answer) AND
• NOT Unclassified (Hidden Answer) AND
• Changes to processes/activities (Hidden Answer) AND
• Application General > Context and Characteristics > Application's Context and Characteristics > Include general countermeasures in the Activity phase (process engineering tasks) in this project"
Testing,T81,Test account lockout,5,"The application does not prevent multiple failed authentication attempts within a short period. This makes it more susceptible to brute-force attacks.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/307
)

Attempt to log in with a valid username and an invalid password five times in a row.

This test __fails__ if you are not temporarily locked out, and you do not encounter any anti-automation controls.

The following are examples of anti-automation controls:

- CAPTCHA images requiring an answer.
- Temporary or permanent lockout errors.
- Requests to answer security questions in addition to providing a password.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T81/",Incomplete,,P204,Repeated Authentication Attempts Are Not Restricted,5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application is a generic server application (Hidden Answer) AND
• Changes to authentication (Hidden Answer) AND
• Features and Functions > Authentication > Authentication Features > Has direct or third party authentication for end users, devices or nodes"
Requirements,T322,Include HTTP Strict-Transport-Security headers in HTTPS responses,5,"A malicious entity (such as a network attacker) could intercept HTTPS requests and change them to HTTP. The malicious entity talks to the server over an encrypted (SSL) channel, but downgrades all the requests and responses (including all the hyperlinks in the response) to HTTP. The connection between the malicious entity and the server will be secure (SSL), however, the connection between the entity and the user will be unsecure (normal HTTP).

The user (and the browser) assume that this is because HTTPS is not supported by the site (and is not needed). The user will not receive any error in response, and will be unaware of any irregularity.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/757
)

Use HTTP Strict Transport Security (HSTS) policy to add the ***Strict-Transport-Security*** header. This header allows browsers to remember that this server requires TLS connection even if a non-secure version is initially requested.

- Specify ***max-age*** to tell the user-agent to cache the domain in the STS list for the number of seconds provided.
- Add ***includeSubDomains*** to apply the rule to all of the site's subdomains as well.

        Strict-Transport-Security: max-age=1024000; includeSubDomains

- You can also include the ***preload*** directive for your site as another layer of security.
    - **Note:** Ensure that you understand the implications of using the preload directive. The preload directive submits your domain to Google Chrome's HSTS preload list, which are sites that are hardcoded into Google Chrome as being HTTPS access only. Other browsers use this list too. When your site is included on this list, browsers only view your pages over HTTPS. They will not load your non-secure pages later, even if your server serves HTTP.

**Note:** The browser considers the HSTS header and applies it to further requests only if the server sends it with an HTTPS response to an HTTPS request. The server needs to redirect the first non-HTTP request to the HTTPS page and then return this header.

**Note:** Use this option as an additional security measure, and secure pages containing sensitive data as normal (redirect all HTTP requests to HTTPS).

## References

- [Mozilla: HTTP Strict-Transport-Security](https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Strict-Transport-Security)
- [RFC 6797: HTTP Strict Transport Security (HSTS)](https://tools.ietf.org/html/rfc6797)


See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T322/",Incomplete,,P744,SSL Stripping,5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Protocols > Application Layer > Application Layer Protocols Used > Uses an HTTP-based protocol AND
• Has authentication (Hidden Answer) AND
• The application is a generic server application (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)"
Testing,T333,Test that HTTP Strict-Transport-Security headers are sent in HTTPS responses,5,"A malicious entity (such as a network attacker) could intercept HTTPS requests and change them to HTTP. The malicious entity talks to the server over an encrypted (SSL) channel, but downgrades all the requests and responses (including all the hyperlinks in the response) to HTTP. The connection between the malicious entity and the server will be secure (SSL), however, the connection between the entity and the user will be unsecure (normal HTTP).

The user (and the browser) assume that this is because HTTPS is not supported by the site (and is not needed). The user will not receive any error in response, and will be unaware of any irregularity.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/757
)

Use the following steps to test that HTTP Strict-Transport-Security headers are sent in HTTPS responses:

1. Use Chrome's Developer Tools, BurpSuite, Firefox FireBug, or any proxy software that allows you to read the contents of HTTP requests and responses.

2. Establish a secure (HTTPS) connection with the application.

3. Send a request over HTTPS channel.

4. Open the proxy and check the headers of the response.

This test __fails__ if the Strict-Transport-Security header is not set, or it is not compatible with the policies of the application.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T333/",Incomplete,,P744,SSL Stripping,5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Protocols > Application Layer > Application Layer Protocols Used > Uses an HTTP-based protocol AND
• Has authentication (Hidden Answer) AND
• The application is a generic server application (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)"
Testing,T124,Test for authentication timing vulnerability,5,"The application's operations complete in different periods of time so that it becomes observable to an attacker. These timing discrepancies can reveal security-relevant information about the state of the product, such as whether a particular operation was successful or not.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/208
)

Use the following guidelines to test for authentication timing:

1. Collect five valid usernames and five invalid usernames.

2. Write a script that attempts authentication with each username.

3. Time the latency in response for all 10 usernames. 

This test __fails__ if there is a clear difference in the time it takes for invalid and valid usernames to go through authentication.

**Note:** This test looks for whether your application adds random latency delays to failed login attempts. It does not assess whether your application is vulnerable to exploitation.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T124/",Incomplete,,P104,Timing Discrepancy Information Leak,5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application is a generic server application (Hidden Answer) AND
• Changes to authentication (Hidden Answer) AND
• Features and Functions > Authentication > Authentication Features > Has direct or third party authentication for end users, devices or nodes"
Testing,T595,Test that your application checks for symlinks before opening files,6,"The software attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link ([hard link](/library/glossary/G26) or [symlink](/library/glossary/G25)) that resolves to an unintended resource.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/59
)

Use the following guidelines to test that your application checks for symlinks:

- Find scenarios in which your application opens a file for reading or writing data.
- Create a symlink at the expected location with the expected name, and link it to a file outside the application realm.
- Test that your application detects the symlink and rejects opening it.
    - This test __fails__ if your application does not detect the symlink.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T595/",Incomplete,,P480,Improper Link Resolution Before File Access ('Link Following'),6,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application is a generic server application (Hidden Answer) AND
• Changes to user output (Hidden Answer)"
Architecture & Design,T633,Mitigate Deadlock and Recursion in Services,4,"*Deadlocks* and *Recursion* can inadvertently cause a lack of availability of a resource, service, or system. 

Service [deadlocks](/library/glossary/G48/) can happen both locally and in a distributed fashion. In the local deadlock, the provider process may be poorly designed, leading to a deadlock. This can be detected by the application or its underlying operating system. In a distributed deadlock, on the other hand, services may be indefinitely waiting for one another to release a resource they require for carrying out a function. This can eventually lead to stalling the execution of services until it is detected by the administrator. As web services can be sequenced, the probability of circular waits increases.

Services may also be initiating requests back and forth to one another to solve a problem. This can lead to infinite recursions. For example:

- Suppose service *A* initiates a request to service *B* to solve a problem.
- Service *B* then looks up the UDDI registry to dynamically bind a web service providing this function to carry out this request and finds service *A*.
- It then forwards the request back to service *A*.
- They keep forwarding the requests to one another until they run out of resources.

This error can render services *unavailable* even without malicious intent.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/362
) - http://cwe.mitre.org/data/definitions/557
) - http://cwe.mitre.org/data/definitions/674
) - http://cwe.mitre.org/data/definitions/776
) - http://cwe.mitre.org/data/definitions/833
)

Use the following best practices to mitigate deadlock and recursion:

- Use execution flow diagrams to mitigate service deadlock and recursion, especially within the domain of single application.

- At the design level, use asynchronous service-to-service calls and message buffering. These are two of the most effective anti-deadlock and anti-recursion mechanisms.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T633/",Incomplete,,P827,Service Deadlock and Recursion,4,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Generic services (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)"
Architecture & Design,T14,Enforce the principle of least privilege,9,"Running an application with extra privileges, such as root or administrator, can disable the standard security checks performed by the operating system and surrounding environment. In addition, pre-existing weaknesses can become security vulnerabilities at raised levels of privilege.

Privilege management functions can behave in unexpected ways on different platforms. These inconsistencies are most obvious when a non-root user is transitioned to another non-root user.

Further, signal handlers and sub-processes inherit the level of privilege of the owning process. As a result, a process with root privileges will produce signal handlers and sub-processes with root privileges.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/250
)

The principle of least privilege is the concept that all subjects of a computing environment are restricted from accessing resources that are not essential to their purpose. This includes application components, users, and processes. Following this principle, additional processes, roles, and accounts should only be created as necessary.

To enforce the fewest privileges on a subject, all privileges must be:

- Restricted as much as possible.
- Granted as late as possible.
- Revoked as soon as possible.

Define an access control model (to support a consistent and uniform way of allocating access) that grants access to the users as follows:

- Define appropriate access depending on each user's business and access needs.
- Define access to system components and data resources that are based on users’ job classification and functions.
- Enforce the fewest privileges (for example, user, administrator) to perform a job function.

Access is assigned to users, including privileged users, based on:

- Job classification and function.
- Least privileges necessary to perform job responsibilities.

Define, assign, and manage access privileges for application and system accounts as follows:

- Based on the least privileges necessary for the operability of the system or application.
- Access is limited to the systems, applications, or processes that specifically require their use.

##### Note
The principle of least privilege can be applied in many different contexts. For example:

- Create an account for the sole purpose of running a particular background process.
    - Run Server/daemon processes under restricted user accounts.

- Use accounts with access restricted to the required features and resources of a service.
    - The code interacts with a service, such as a database, that supports user accounts and access controls.
    - Multiple accounts may be required to use different parts of the code, and to work with different sets of data.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T14/",Incomplete,,P150,Running With Unnecessary Privileges,6,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Application General > Components > Components In Use > Uses a database AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)"
Testing,T296,Test that unencrypted confidential data is not stored without access control mechanisms,7,"Storage devices, such as memory cards, disks, and USB devices are normally accessible by other users and processes. For example, Android external storage could be available to all the running apps. If any sensitive data is stored in clear text on these devices, attackers could potentially read the data, if proper access control mechanisms are not implemented.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/312
) - http://cwe.mitre.org/data/definitions/315
) - http://cwe.mitre.org/data/definitions/921
) - http://cwe.mitre.org/data/definitions/922
) - http://cwe.mitre.org/data/definitions/934
)

Use the following guidelines for testing that confidential data is not stored on a client, or in shared locations on a server, in an unencrypted format:

## For client applications:

- Install the application on a client, such as a mobile device.
    - If the device is protected, root or jailbreak the device, or use an emulator that simulates this.

- Locate the data-files and local databases, and then copy them.
    - It is usually possible to do so on rooted mobile devices through a USB cable.
    - For mobile devices, check the data storage folders belonging to the application on the shared storage as well.

- Inspect the contents of the files and the databases.

    This test __fails__ if sensitive data such as application secrets or sensitive user data is stored without encryption.

## For server applications:

- Browse and analyze the directory structure on the server.

- Inspect the contents of the files and the databases.
    
    This test __fails__ if sensitive data such as application secrets or sensitive user data is stored without encryption.

### Test serialized objects

Locate the folders that hold application data especially 'serialized objects' (consult the developers). Check the content of those files/streams to test that confidential data is not stored in serialized objects without encryption.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T296/",Incomplete,,P209,Cleartext Storage of Sensitive Information without Access Control Mechanisms,6,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application is a generic server application (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Testing,T403,Verify that errors and exceptions are securely handled,5,"Sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other attacks. If an attack fails, an attacker may use error information provided by the server to launch another more focused attack.

For example, an attempt to exploit a path traversal weakness (CWE-22) might yield the full pathname of the installed application. In turn, this could be used to select the proper number of "".."" sequences to navigate to the targeted file. An attack using SQL injection (CWE-89) might not initially succeed, but an error message could reveal the malformed query, which would expose query logic and possibly even passwords or other sensitive information used within the query.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/209
) - http://cwe.mitre.org/data/definitions/756
) - http://cwe.mitre.org/data/definitions/933
)

Follow these guidelines to verify that system or user error messages disclose minimum information about the causes of the errors and the internal status of the system:

- Work with developers to verify that a global error handler is used to catch errors or exceptions not explicitly handled by the application. Also, verify that application and server settings are set to return minimum details in the error messages when the errors are not handled by the application or the global handler.

- Work with developers to verify the content of error messages within the application. It is much easier to do this with a class or property file that contains the text and syntax of error messages.

- Test the content of error messages for a number of scenarios. Specifically, test that the messages do not provide internal system details, such as a stack trace, information about directories, or core dump.

- Work with developers, or test, that when a number of reasons have caused the error, the application does not explicitly specify the underlying reason in a way that could be used towards more directed attacks.

- Verify that when more detailed error messages are provided to a specific remote system, the error messages are signed and encrypted.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T403/",Incomplete,,P105,Information Exposure through an Error Message,5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application is a generic server application (Hidden Answer) AND
• Changes to user output (Hidden Answer)"
